F,p
3.789496391832666,8.283685923724822e-07
3.4138740112755186,7.034658584499051e-06
4.360415420990391,2.970136947498216e-08
5.66526687952207,1.2020624223011114e-11
6.750071912751513,1.6463330654967468e-14
3.3473449489220606,1.0220546802742446e-05
7.7045133499986855,4.904538477199652e-17
7.593922663799932,9.619147413252052e-17
10.43817116198742,3.266890372294969e-24
5.945003644769764,2.2056398465210764e-12
3.55032175622524,3.2524355279881455e-06
4.05359021628716,1.7941149082258633e-07
5.4336858953014655,4.8738036862036396e-11
5.662900652083383,1.2194028844472396e-11
3.4170828388536627,6.908743082648973e-06
5.024903087787639,5.702062566698044e-10
3.769843214331102,9.275280736243052e-07
4.395005051951113,2.422083131060741e-08
4.414961199861655,2.152952502758173e-08
12.564702633302023,1.1161250321004298e-29
4.6280986730690135,6.092108095220574e-09
5.3166103173626515,9.87427164656593e-11
13.277349078562048,1.7535450029726378e-31
3.367688619989421,9.1190153500289e-06
11.523571194461491,5.115809524131921e-27
4.062735174957969,1.7009977529537937e-07
11.261714486544726,2.4149246722279064e-26
4.368064574937763,2.839192578321156e-08
3.411558888985548,7.1269097628813055e-06
8.37897654845271,8.106821105241876e-19
4.327370243226885,3.608395195016216e-08
9.975320003465646,5.238074677359987e-23
4.855041701059381,1.5759520515759347e-09
7.952819731018272,1.0817005438929396e-17
9.617362442427329,4.51237667018344e-22
3.6916648898094544,1.4526144128722733e-06
5.390660110703124,6.318563062137644e-11
2.7669432480293827,0.00024347078784870928
5.241573024902277,1.5515119731782816e-10
6.405592421887997,1.341601678248074e-13
3.850959071230932,5.812225994452375e-07
5.204345736095781,1.9410224752181316e-10
6.266539886654894,3.126489976210313e-13
4.234716539014407,6.220618019649566e-08
2.0686421421653964,0.008141386307360101
6.553873560307487,5.4395269564224293e-14
4.332153536516154,3.508189616642349e-08
6.5724664512151865,4.857199013547198e-14
5.269004977029371,1.3153380264681142e-10
6.098621156656879,8.677491936364148e-13
5.235360820384186,1.6106153780731508e-10
3.1500965276337314,3.059659328789973e-05
10.795014410692163,3.877692558363564e-25
5.927511814961473,2.452651718117931e-12
4.214297784234457,7.012161868445274e-08
2.5563765209931595,0.0007323279083817043
2.005533455558276,0.010918947183176412
3.877725877044551,4.979452753603106e-07
8.916681329472985,3.108393918236611e-20
5.598303281135092,1.8025743279241615e-11
3.3592062263989675,9.563283223458288e-06
4.619116995225645,6.425970986959384e-09
3.7806663052519776,8.715489017416958e-07
11.510226411305302,5.536280714095888e-27
13.35026861674928,1.1486447317643434e-31
6.702176002777781,2.2041968707669093e-14
6.732670755274955,1.8304704399155802e-14
9.842021754961443,1.16712161425499e-22
4.532737057488648,1.0727332084922952e-08
2.5348815633785753,0.0008179743511368456
3.7155108385558124,1.267104669892103e-06
5.014138970446061,6.082135657111282e-10
3.4054404547011563,7.3765031779783735e-06
3.140291192614805,3.2295716381372946e-05
7.085363313245456,2.1334719971712177e-15
5.712030551244956,9.056593238739329e-12
4.029794764004497,2.0608033922684126e-07
6.144926639570325,6.549148528911526e-13
4.752820043031466,2.9003387385791437e-09
6.669505084324512,2.6896124655536345e-14
2.9000628333854572,0.00011955092414299162
5.890599959622759,3.068303036471359e-12
5.3770237034205115,6.860229784163209e-11
7.261998017145764,7.26991657254578e-16
7.9133211887428505,1.3756266843087256e-17
3.667740309882822,1.6657317631765747e-06
10.848326053392523,2.8220656057812137e-25
5.77039699173698,6.359308463783165e-12
8.93257041662652,2.823278498126744e-20
3.567664919840802,2.9472294404217263e-06
3.6064666639474363,2.3632290525181292e-06
4.087517623854612,1.4720876152329757e-07
2.5801971860625508,0.0006475824362183629
3.7658275383528443,9.491919809833957e-07
10.754061159922516,4.950353664713616e-25
5.266552824763911,1.3349024512878163e-10
7.746775776344272,3.7916329037137515e-17
2.764260363405775,0.0002469580114248592
7.648306487392927,6.906667759503336e-17
2.7815851403957956,0.000225270586217805
15.408287689571708,8.718967532593046e-37
8.031211606650805,6.713736666645456e-18
2.7834157331232006,0.00022309081698010277
3.255025559971383,1.7111201050316687e-05
6.945096809520439,5.016174185327437e-15
