F,p
0.12526051088853382,0.9999889816855307
0.4497588496779027,0.9685881965896134
0.41676388964548955,0.9786003126265846
0.26438085581407694,0.9983827002779069
0.2820074866170578,0.9976049608043377
0.06408139520750493,0.9999999197583962
0.472218249245415,0.9601899367496295
0.3715668261780724,0.9883383074735057
0.28600771264465713,0.9973933856441553
0.2067430452582635,0.9996603645458895
0.1087823823871291,0.9999959880161206
0.17240275404069064,0.9998986529145253
0.18427779415248383,0.9998413029277559
0.27438496977978794,0.9979707982188625
0.19560968944233093,0.999763970530558
0.19667081913135936,0.9997553791402841
0.16836381763774355,0.9999137152596447
0.5728172266127121,0.9051728822403866
0.4609896413630411,0.9645557583450833
0.3646018514567837,0.9894818816771405
0.15976850088902464,0.9999396791932873
0.12846944280132175,0.9999868166815801
0.7476133383536356,0.7454843849805416
0.056200742548755546,0.9999999702711614
0.9027350364639068,0.566014330133457
0.09920665266192262,0.9999979437789887
0.3132941379513278,0.9955348736944151
0.1285152891847617,0.9999867833343004
0.5570222666124212,0.9157492554976977
0.4454539393512799,0.9700473008469652
0.20877036607629562,0.9996380234940785
0.4560180538066453,0.9663814926775638
0.1624573053458047,0.9999323715482951
0.6896584534057184,0.8059866934443881
0.30063477382379666,0.9964931285834343
0.13272847923859285,0.9999834001197665
0.1516810514373662,0.9999578266413678
0.04878695808318541,0.9999999898859148
0.16080448629637606,0.999936945479793
0.16868671493644968,0.9999125836925775
0.11809699754531433,0.9999927590346948
0.23776178314577168,0.999165404059012
0.19068394244834921,0.9998006858232804
0.1975482495022312,0.9997480834915873
0.12076677501697682,0.9999915051045211
0.1888659405343542,0.9998129919683052
0.24755236757557086,0.9989242647420269
0.24428479291029792,0.9990102207441818
0.14676446253581027,0.9999664420084705
0.2909898718793322,0.9971098049030935
0.3890845078389543,0.9850616083069611
0.29196995919317814,0.9970513011607245
0.5442643538993054,0.9237635558848496
0.15394728761764434,0.999953275796118
0.09296481455508414,0.9999987212953063
0.11771655591478446,0.9999929242902974
0.26198683058140465,0.9984706976159328
0.18345259448684462,0.9998459994469409
0.5261788324548442,0.934311675645712
0.14529988638244992,0.999968703710791
0.12596805280380335,0.9999885320666846
0.13853389512430972,0.9999775708525763
0.12962189298243376,0.9999859566340813
0.3352374838912856,0.9934133151604474
0.8912603296207366,0.5795282534509902
0.2417604463019881,0.9990727943552983
0.47034365473975903,0.9609424209995983
0.46117210721694796,0.9644875092099016
0.27685267066629776,0.997857533946155
0.10290905562707807,0.9999973157336285
0.14019123716641071,0.9999756226091039
0.17224703274744724,0.9998992713652922
0.1719639014466358,0.9999003878387823
0.08686657808417857,0.9999992235970345
0.5213740034333976,0.9369539118608822
0.30044087200137387,0.9965064509837438
0.13707793349678418,0.9999791730939211
0.42306119926068714,0.9768921713761348
0.3493364413877103,0.9916962659497833
0.6835661316478958,0.8119774978326294
0.16517951628736904,0.9999242396130267
0.24059654148887985,0.9991005586820064
0.23003372989240753,0.9993233587358175
0.24679062050946848,0.9989448157104849
0.6292784187310368,0.8616192640703901
0.12651901139303737,0.999988171348668
0.540491561966383,0.9260426967727872
0.17521414364506527,0.9998869362045142
0.34155948477445797,0.9926802271509952
0.1184039681744305,0.9999926233299236
0.15077923010948208,0.9999595317343308
0.20550708971896314,0.999673424987283
0.2573054430463067,0.99863181261702
0.08798542730415577,0.9999991467891441
0.42658062827862375,0.975897024134161
